date,username,tweet
2022-11-20 05:30:40,Yayaya_92,"@evenighx Aku lebih setuju wanita berpenghasilan (sedapatnya saja) tp tetap dirumah, contoh content creator, reseller barang/ pekerjaan yang sifatnya project based&amp; bs WFH cth translator buku/majalah/artikel  Gimanapun kayaknya otak perlu di ""drill"" supaya ilmu yg udh ada gak menguap 😚"
2022-11-19 20:34:29,AlbertSolo2,Kementerian Kesehatan akan memberikan vaksin Covid-19 dosis keempat kepada tenaga kesehatan @kontanNews  https://t.co/JaaBcWoqmW
2022-11-19 14:45:02,issyyyllll,@oxfara mending polio dari pada di suntil vaksin babi. kata ibunya.
2022-11-19 13:59:53,mbah_binong,"@CNNIndonesia Kan pabrik vaksin kopid di biofarma baru mau dibangun, kalo kopid hilang .. gak laku vaksin nya"
2022-11-19 13:42:20,dr_ardi,🌿🌿🌿  #ardisantoso #dokteranak #indonesia #surakarta #anaksehat #polio #vaksin  https://t.co/tb4rcTTJUm
2022-11-19 12:34:18,ezzaselisa,"Huft vaksin 2x, booster 1x, pernah jd alumni covid juga tp ga jamin kekebalan tubuhku :))  Ditakdirin fokus ke proposal emg👍"
2022-11-19 11:21:20,UNSfess_,-11Fess nyuwun info vaksin ktp bebas dong
2022-11-19 11:19:28,Yayaya_92,@salmandoang @disdik_bandung @RESTABES_BDG Updatenya bgmn ?
2022-11-19 10:51:58,dik_ayn,@ndagels Ku pernah ikut ambulance ngisi bensin waktu ambil vaksin
2022-11-19 10:46:06,citaana17,Pas KKN banyak nemuin keluarga yg anti bu Bidan desa dan vaksin” an biasanya katanya agamannya gak boleh 😌
2022-11-19 09:46:37,Yayaya_92,"Terpantau jalan adi sucipto, arah colomadu ke stadion manahan macet tapi teratur dan masih bisa jalan Selamat  dan sukses #MuktamarMuhammadiyah  https://t.co/iF4QpIhikM"
2022-11-19 08:29:31,Usman_J20,@amndzahra pacarku mirip kamu
2022-11-18 19:10:57,Sahaaing666_,@MasKuncoroo emng iy? gek lg vaksin pertama neh 🗿
2022-11-18 13:18:34,abasyoibnu,"@UNSfess_ Klo mau naik kereta api dari solo ke malang misalnya, itu syaratnya harus pakai vaksin boster dulu nggak sih??"
2022-11-18 07:56:05,Usman_J20,"@andriy1314 @PSSI lhoh hasile? wareg, prasmanan"
2022-11-18 07:33:20,Usman_J20,@agoswarsoep aku yo seh seneng nganggo klambi tulisane PASOEPATI  ngeneki gur ngenteni wayahe wae.
2022-11-17 22:40:32,SoloMenfess,Info tempat vaksin lurr
2022-11-17 19:41:31,dr_ardi,🌿🌿🌿  #ardisantoso #dokteranak #dokter #indonesia #anaksehat #vaksin  https://t.co/aP2BE1eKI8
2022-11-17 11:19:32,apoykira,Telat hudang jadi we teu kabagian vaksin booster 😂  https://t.co/QFSyftaAeZ
2022-11-17 10:14:42,SOLO_SQUARE,"Solo Square Peduli Vaksin  Pelayanan Suntik Vaksin Sabtu, 19 November 2022 10.00-14.00 WIB Solo Square Lower Ground ( sebelah Hypermart)  Ayo vaksin !  #solosquare #ayokesolosquare @ Solo Square  https://t.co/bm6VJpwPFq"
2022-11-17 09:44:43,apoykira,Mari berburu vaksin booster 😂  https://t.co/2ievGIcqRw
2022-11-16 08:39:01,Joglosemarnews,"Jemaah Umrah Tak Wajib Vaksin Meningitis, Ini Resmi loh  https://t.co/cAY0IRsbIb"
2022-11-15 20:51:40,UNSfess_,"-11fess info vaksin booster di sekitar kampus dong guys, kalau ada sekalian share jadwalnya yaa Maaciiww"
2022-11-15 19:47:08,soloposdotcom,"Warga Sragen Enggan Ikut Vaksin, Cakupan Vaksinasi Booster Hanya 27,88%  https://t.co/Tkn1stsnpC"
2022-11-15 13:35:32,soloposdotcom,Kemenkes Tak Lagi Wajibkan Jemaah Umrah Vaksin Meningitis  https://t.co/8C18AMFQop
2022-11-15 11:10:50,Usman_J20,"@aissaputra__ @kaesangp @Paltiwest @knugroho33 iki mas, serem. ali mabkhout  https://t.co/ZOWGKUT3vz"
2022-11-15 10:39:44,UNSfess_,"-11fess yg mau vaksin booster buruan ke ngoresan skrg, ga antri. trims"
2022-11-15 10:37:07,Joglosemarnews,"Perhatian, Bupati Sragen Minta Warga Segera Vaksin Booster. Covid-19 Naik Lagi?  https://t.co/IBUpCmVOOt"
2022-11-15 07:09:28,arifbudisatria,"Kemenkes RI sudah menyesuaikan kebijakan dari Arab Saudi. Umroh tidak wajib vaksin meningitis, sedang untuk haji masih wajib vaksin meningitis.  https://t.co/jI1AFeCaXX"
2022-11-15 06:51:39,luuvyoouu,Urung di vaksin kok ws mumet wae kiii hadeeh
2022-11-15 05:13:06,Yayaya_92,"@convomfs Sayangi nyawamu nder, ganti ya sayaanggg bahayaaa soalnya ☺️"
2022-11-15 03:34:32,jinxproabe,hari ini vaksin lagii
2022-11-14 19:17:40,SoloMenfess,"lurr info vaksin kucing seng regone murah dong, matur suwun"
2022-11-14 15:16:44,Usman_J20,"@garagarabola_ Elkan Baggot , opsi lain : Marcelino Ferdinan"
2022-11-14 15:07:08,Usman_J20,@aissaputra__ ben iso ngene mas  https://t.co/HnZAxzufdN
2022-11-14 13:43:42,Usman_J20,@ndagels lebarnya layaknya landasan udara soekarno hatta .  https://t.co/rf5WYcNicE
2022-11-14 12:20:10,UNSfess_,-11fess info vaksin guys  https://t.co/6Aosf8MLp0
2022-11-14 12:14:19,dr_ardi,🌿🌿🌿🌿  #ardisantoso #dokteranak #dokter #indonesia #surakarta #anaksehat #vaksin  https://t.co/Hw3Wzdp2ky
2022-11-14 11:56:11,Usman_J20,"@KucengTerbanggg gara gara kena petir beberapa kali ngeground, indihome mati harus ganti LAN"
2022-11-14 09:06:48,Usman_J20,@theprediksi_ itu sebelahnya Tora sudiro ada Jerinx SID ngapain
2022-11-14 05:58:58,racunnxshopee,aku open jasa joki nembak vaksin yaa - masuk pedulilindungi - permanen - cepat dan aman  https://t.co/MHNm5ELQce desta first love #zonauang
2022-11-08 00:16:36,mmmzsky,info vaksin dosis 3 area solo dong
2022-11-04 08:55:20,HaveFunSaddam,Kemarin kemana aja pak kok baru vaksin sekarang? Ngga kemana mana Trus ini kenapa kok mau vaksin? Mau berangkat ke Thailand Acara apa pak? GOLEK BANCI!!
2022-11-01 22:52:49,pik_gum,"Guys mau tanya, kan vaksin 1 sinovac trus vaksin yg kedua bukan sinovac (Pfizer) boleh gak sih?"
2022-10-31 12:01:51,haripape,@Rancap42993940 @dr_koko28 @MayoClinic Pasal 1 : vaksin tidak pernah salah 🤣🤣
2022-10-26 05:21:05,anwarmustafa,"@alyaaly321 Aku belum di vaksin , gimana dunk..."
2022-10-23 23:19:06,SetyasihMurwani,@duckbusterr Alhamndulilah Saya cuma vaksin 2Kali. Makan sehat segar sayuran Hidup senantiyada Iklas   cari teman yg *jujur* harus. Berpeluang dapat Hidayah langit Sap 7  via melody Porsi Saya.saja. Aman  Didunia Sampai Scherst *insya  Allah Amin.
2022-10-12 23:50:50,ujprstyo,Stasiun balapan apakah melayani vaksin booster? @KAI121
2022-10-11 18:30:14,anti_tesis,"@neohistoria_id Setelah ditemukan vaksin cacar pd 1796 dan vaksinasi global dikebut dr 1958-1977, penyakit cacar akhirnya bisa dimusnahkan, gada lg pandemi atau endemi. Cacar jg merupakan pandemi pertama yg berhasil dimusnahkan. Ada sih sampel virus yg disimpen tp cm bwt riset"
2022-10-11 18:26:42,anti_tesis,"@neohistoria_id Sekilas info dan tambahan ilmu: Taun 1519, Hernan Cortez tiba di Meksiko, bawa 500 org prajurit+budak. Populasi Meksiko: 30jt. Thn 1568, populasi suku Aztec tgl 3 jt. Kurang dr 100 th, cacarnya Cortez membasmi 90% penduduk Aztec Jmn dlu blm ada vaksin cacar"
2022-10-11 11:16:57,aurimaaa,@SoloMenfess Cek ig @dinkessurakarta aja nder sering ada info vaksin dan booster
2022-10-04 08:21:57,NataDeny,@elizabethlisa76 Habis itu vaksin lagu vaksin lagii... 😌😌
2022-09-24 23:54:06,komporologi,Kini telah hadir vaksin Booster peningkatan imun dari serangan virus 𝐾𝑒𝑙𝑎𝑟𝑎𝑛𝑢𝑠 𝐶𝑖𝑑𝑟𝑜𝑝ℎ𝑜𝑏𝑖𝑎𝑒.   Silahkan hubungi mbak @blorastory91 untuk mendapatkan Kartu KCI (Kartu Cidronesia Sabar) untuk akses layanan Vaksin 𝑪𝒊𝒅𝒓𝒐𝒗𝒂𝒄 Version 2.0 (Free Payung)
2022-09-23 23:39:45,damarr00,"@danarn_ @schawberry @genset_open Dr nomer ktp, jadi nanti pas cetak di tiketnya udah ada tulisannya km udah vaksin berapa kali gt. Kalo belum booster g boleh chek in stasiun"
2022-09-19 12:53:59,alwaysnext2u_,@KAI121 @keretaapikita apakah persyaratan naik kereta api sekarang harus vaksin booster dulu min?
2022-09-17 12:18:52,bogeloni,"Sakne banget iki wis kadung mbas tiket sepur lah kok wajib vaksin booster, dan di tolak dong tiketnya maneh gak iso di refund tiketnya. 😅 awak lek.."
2022-09-13 07:43:41,pepe12666088,"kak, syarat naik KRL jogja solo PP saat ini apa harus sudah vaksin booster?? @CommuterLine #rekancommuter"
2022-09-12 23:25:18,MurwaniSetyasih,"@caul_tanjung @sabanabana5 Saya pun idem 2 Vaksin ( Hidayah Allah  )   2 Baik. Jahat 2 jujur. Bohong 2 iklas. pamrih, 2 Siang. Malam. 2 Benar. Salah..  Udara tlah mencatat Duper Valid. Allah langsung jg Mengatur"
2022-09-11 21:15:15,bagusdwwi,bp mentri ra vaksin boster 👍
2022-09-07 16:27:25,pangs1trebus,@ikanbakarbusum @Nanangardianto_ @KuntoAjiW kalo dosis 1 harus pake bukti vaksin
2022-09-06 19:52:56,ikanbakarbusum,"@Nanangardianto_ @KuntoAjiW Mas,  ada masalah nihh, temenku baru vaksin pertama bisa masuk konser ga kak😭✨"
2022-09-06 19:51:30,ikanbakarbusum,"@KuntoAjiW Mas, kalo ada yang baru vaksin dosis pertama bisa nonton konser mas kun ndak mas, besok 8 september di soloo, temenku baru dosis pertama🥺🥺🥺"
2022-09-03 13:38:29,pvtrih,"Setelah ketinggalan jadwal booster mulu, eh kok pas ngemall tiba-tiba ada booth vaksin 😂  https://t.co/pTmLlEtECH"
2022-09-03 10:53:43,SOLO_SQUARE,"Solo Square Peduli Vaksin  Yuk bagi Loyal Customer Solo Square ingin melakukan vaksinasi, bisa segera ke Solo Square lantai 3 depan cinema XXI SOLO SQUARE  #solosquare @ Solo Square  https://t.co/Oa9LxZnsiD"
2022-08-27 01:12:41,yudha_hen007,@_theguzel Kmu vaksin juga nggak?🙊😊
2022-08-21 23:10:38,yudha_hen007,@presidendungu @_Banyoe @ijanu_s @Isroyani5 Siap vaksin lagi?😂🙄🙄
2022-08-21 12:16:35,ilhamAlkathiri_,Nnyicil sek vaksin pertama😂
2022-08-17 12:53:02,abduhzulfikar,Yuk sekrang wajib vaksin ke 3 bagi yang mau perjalana dengan kereta. 😀😀😀  https://t.co/c2Oh0tv7WV
2022-08-15 01:53:54,himaismee,Gajadi vaksin lah mager wkwk
2022-08-11 21:51:31,bimaprabowo19,@jogjamnfs minim vaksin booster keknya
2022-08-10 13:05:30,kabarklaten,@nuradinugraha info vaksin pantau akun2 Ig puskesmas se kab klaten
2022-08-06 09:20:24,himaismee,"Mbuh lah wes, rasido vaksin 😓"
2022-08-04 10:50:13,armybws_,"@wonpilislay @SoloMenfess Mjb, enggak kok minimal vaksin ke 2"
2022-08-01 16:20:41,Zetyo_pambudi7,"@YareY4r3Daze @sseetiaa Ya betul, kan jadi kasian yg lain harus vaksin berkali-kali 🤭"
2022-07-29 14:57:08,Bintangprd,@nurmedisya Minimal vaksin
2022-07-24 08:09:39,dontbesyai,@MamiaAja 2 bulan. Jadi belum vaksin.
2022-07-22 12:42:01,irfan_nuruddin,@GalihTengil Ngemeng epeh... vaksin sana dulu...
2022-07-19 14:04:47,Zetyo_pambudi7,Sudah vsksin ketiga berarti @A_ZeeJKT48 ? Sehari doangkan pegelnya? Kalau aku udah vaksin kebera0a ya? Lupa sih aku tuh 🤭 #ZeeLetter
2022-07-06 23:47:11,atobajahat,@drpriono1 Nyales vaksin untung berapa ya pak ?
2022-06-30 08:45:26,rxzkammr_,"@ngalamfess Penataran Malang-Blitar 12k Kahuripan Blitar-Lempuyangan 80k  nanti transit di Blitar 2,5 jam an.  Vaksin 2 gausah antigen."
2022-06-29 13:13:53,alexandreanov,@putascuffed Mau aja dikadalin tukang jual vaksin
2022-06-25 12:51:43,SOLO_SQUARE,"Solo Square Peduli Vaksin  Pelayanan vaksinasi covid-19 Sabtu-Minggu, 25-26 Juni 2022 10.00-14.00 WIB  SOLO SQUARE   #solosquare #agendasolo #jelajahsolo #soloinfo @ Solo Square  https://t.co/5qasl8c5Lb"
2022-06-24 08:26:09,SOLO_SQUARE,"Solo Square Peduli Vaksin  Pelayanan vaksinasi covid-19 Sabtu-Minggu, 25-26 Juni 2022 10.00-14.00 WIB  SOLO SQUARE   #solosquare #agendasolo #jelajahsolo #soloinfo @ Solo Square  https://t.co/LPKe8raDbP"
2022-06-23 18:05:50,SOLO_SQUARE,"Solo Square Peduli Vaksin  Pelayanan vaksinasi covid-19 Sabtu-Minggu, 25-26 Juni 2022 10.00-14.00 WIB  SOLO SQUARE   #solosquare #agendasolo #jelajahsolo #soloinfo @ Solo Square  https://t.co/8Yvd0TrgYp"
2022-05-27 12:40:53,varvaraaway,Aku abis vaksin booster 🩹  https://t.co/r29fUmF1f8
2022-05-09 08:35:20,gibran_tweet,"Program vaksinasi booster dosis ketiga ini, @persisofficial bekerja sama dengan @kodim0735 Dengan menggunakan jenis vaksin AstraZaneca dibuka kuota hari pertama sebanyak 300 dosis, hari kedua 300 dosis dan hari ketiga 400 dosis."
2022-05-09 08:35:19,gibran_tweet,"Para pecinta sepak bola Solo, ayo ikuti ‘Booster untuk Suporter’ pada 9-11 Mei 2022, pukul 08.00 - 11.00 WIB di Persis Store &amp; Cafe! Syarat: Berusia &gt; 18 tahun Telah dapat vaksin dosis II &gt; 3 bulan lalu Ber-KTP domisili Solo Raya Melakukan registration walk-in di Persis Store.  https://t.co/brHFrZHTIb"
2022-05-08 10:02:13,gibran_tweet,"@persisofficial akan melawan @persebayaupdate pada 22 Mei 2022 di Stadion Gelora Bung Tomo, Surabaya, kick off 20.45 WIB. Ini jadi ajang pemanasan Liga 1 yang bergengsi &amp; dinantikan pecinta sepak bola karena penonton bisa langsung nonton di tribun dgn syarat sudah vaksin booster.  https://t.co/Zahrcta9QK"
2022-05-04 17:21:50,Andy_vvb,"@halehalelaya Pengen jane, ngepasi minggu barang tapi aku rung minat vaksin pdhl seko official persissolo yo ngadakne vaksin sblum away rono wkwkwkw"
2022-05-04 17:18:29,Andy_vvb,@halehalelaya Males vaksin e po hahahah
2022-04-28 22:47:39,gusdjar1,Anggota DPR RI Mengapresiasi Inovasi Kapolresta Solo  Memodernisasi Peralatan  Kamera Hingga  Layanan Vaksin  https://t.co/WrQdJCF3zC
2022-04-27 08:24:48,JalurMerah_1923,"Monggo Seng Ajeng Vaksin 1, 2, 3 (Boster) di depan Hotel Amarelo Singosaren dr jam 9-12 Siang.  https://t.co/6O73XNtHPn"
2022-04-26 20:10:22,AlgaArdi,vaksin pertama njut vaksin boster oleh ra bos kevin?
2022-04-26 20:09:23,AlgaArdi,inpo vaksin boster magetan vaksin buat kesehatan❌ vaksin gawe nonton persis ✅
2022-04-26 18:15:16,Andy_vvb,Pengen away rono meneh tapi jek males vaksin booster wkekekke
2022-04-23 13:29:55,SOLO_SQUARE,Solo Square Peduli Vaksin  Ayo Lengkapi dosis Vaksin anda  #solosquare @ Solo Square  https://t.co/d2C1SOeRa5
2022-04-23 10:52:02,SOLO_SQUARE,Solo Square Peduli Vaksin  Ayo Lengkapi dosis Vaksin anda  #solosquare @ Solo Square  https://t.co/jjIBGkZk55
2022-04-23 10:29:22,SOLO_SQUARE,Ayo lengkapi dosis vaksin anda  10.00-12.00 WIB Lower Ground Samping Hypermart  #solosquare @ Solo Square  https://t.co/2glIsRfCPk
2022-04-22 12:27:24,adit_chan,"@mogize_ lahhh kok gituu, kalo km puasa trus vaksin, efek nya lohh khan kalo vaksin harus makan yg byk trus stl vaksin pun hrs makan lagi, biar gak ada efek drop nya"
2022-04-22 07:38:02,adit_chan,"@mogize_ berati km gak puasa dong, kalo vaksin"
2022-04-21 07:15:38,polsek_serengan,"'PROGRAM SEJUTA VAKSIN"" bersama PC NU Kota Surakarta dan Kementerian Agama  Hari : Kamis sampai dengan Sabtu, tanggal 21-23 April 2022  Vaksinasi SIANG   : 08.00 WIB -14.00 WIB Vaksinasi MALAM : 19.30 WIB - 22.00 WIB di Klinik Bhayangkara Jl Slamet Riyadi no 376 Surakarta  https://t.co/ItAQybBhxF"
2022-04-20 04:59:42,mikoweldit,"Mana ni vaksin mahal banget pula, bisa ampe 2 jeti, lu bayangin deh kalo gegara ni vaksin angka kematian di Indonesia gegara kanker serviks menurun drastis, ape idup lo kagak tentram? Hah? Heran, ayolah, jangan jd orang terbelakang kenapa sih"
2022-04-20 04:58:11,mikoweldit,"Kanker serviks tu jd momok menakutkan, gue aja takut dan gue yakin temen"" perempuan gue jg begitu. Bisa""nya lu pade ngomong ""vaksin lagi vaksin lagi"" yodah kalo gak mau tu diem aje gausah koar"" apalagi sok tau"
2022-04-20 04:56:13,mikoweldit,"Rang orang pada kenapa sih heran, kalo lu gamau vaksin yaude sono, tp kalo ampe mitamit keluarga lu kena kanker serviks yg biaya nya aja muahal nya minta ampun jangan pernah coba"" ngeluh lu ye, dikasih enak kagak bersyukur lo pada!"
2022-04-19 00:08:44,riskais,"Kebijakan yang bagus gini kenapa pada julid, vaksin ini harganya mahal tapi sangat berguna buat perempuan, dikasih gratis malah julid"
2022-04-16 17:52:36,kikiflurane,((Sebwa testimony pasca vaksin sewurongatus tudey))  https://t.co/gp7rFkKS7K
2022-04-16 14:46:16,kikiflurane,"Kelar BP, ikutan vaksin karena sungguh bro brutal banget yg vaksin. Bahkan dokter disana udh 5 aja masih antrian sekebon😭"
2022-04-16 14:46:15,kikiflurane,"Whoa.. hari ini sungguh nganu. Karena 4/6 isip ditarik vaksin, jadilah tandem sama @popcronoreo. Ku KIA pagi lumayan banya sampe 9 pasien dan lanjut shift BP siang."
2022-04-16 12:18:10,SOLO_SQUARE,Solo Square Peduli Vaksin  Ayo lengkapi dosis vaksin anda  #solosquare @ Solo Square  https://t.co/VWBQf5ptIg
2022-04-16 11:20:08,SOLO_SQUARE,Solo Square Peduli Vaksin  Ayo lengkapi dosis Vaksin anda  #solosquare @ Solo Square  https://t.co/XJ3lOXIFPp
2022-04-15 15:07:50,issnaamj,nunggu vaksin + bayari bst + lagi puasa.  mau ngamokk tp kudu syahhbar🥲🥲🥲
2022-04-15 13:21:41,kinankugy_,Vaksin ke tiga kok tangan kiri ku bengkak si 😭
2022-04-13 08:32:25,polsek_serengan,"Yang ada rencana mudik .. Ayo ... manfaatkan Gerai Percepatan Vaksin  Polresta Surakarta selama Bulan Ramadhan di Klinik Bhayangkara Jl Slamet Riyadi no 376 Surakarta,  Setiap Hari:    Siang jam : 08.00-13.00 WIB (Senin-Sabtu) Malam jam: 19.30- 21.00 WIB (Senin-Jum'at )  https://t.co/9i1ClpPGw3"
2022-04-11 08:57:30,gibran_tweet,"Agar lebih aman dan nyaman, ayo vaksin sebelum mudik lebaran!   Berikut lokasi beserta jadwal vaksinasi:  1. Semua Puskesmas (RS Bung Karno, RS Ibu Fatmawati Soekarno, Klinik PMI, Senin - Sabtu, pukul 08.00 - 11.00 WIB).  https://t.co/Cxe7kbioZH"
2022-04-10 20:38:15,kantahkabsragen,"Halo #SobATRBPN @kantahkabsragen yang sudah vaksin dosis 1 dan 2, pastikan sudah vaksin Booster ya sebelum Mudik!! source @ppid_sragen  @PMIJawaTengah  https://t.co/4GDnDmJwwj"
2022-04-09 10:31:33,SOLO_SQUARE,Solo Square peduli vaksin Ayo lengkapi Vaksin anda  9 April 2022  Lower Ground sebelah Hypermart Solo Square @ Solo Square  https://t.co/STqPIPv2MS
2022-04-09 06:01:25,bagusdwwi,linu kabeh bar vaksin az yaAlllah ra poso sik 🤧🤧🤮
2022-04-07 21:44:12,polsek_serengan,"Mau Mudik Aman, Selamat, Nyaman dan Sehat? Vaksin Booster Solusinya.... @gibran_rakabuming  @teguhprakosaa  @boedy_slo @adesafrisimanjuntaksik  @gatot_yul  https://t.co/vQ2tgAMTlE"
2022-04-07 20:16:27,alfin__________,@iqbalzamm vaksin sek mas eee karo sepik2  https://t.co/2I8eMEtjPt
2022-04-07 15:25:52,gibran_tweet,"Pemkot Solo memberi syarat pada warga yg ingin dapat minyak murah harus sudah vaksin lengkap ditambah booster. Jika warga ada yg belum booster, di waktu bersamaan, di Pendapi Balaikota jg dilaksanakan vaksinasi booster massal. Maka, warga dapat memanfaatkan fasilitas layanan tsb."
2022-04-06 19:53:11,arifbudisatria,"@KadarLalu @__Sridiana_3va Ini bukan hanya vaksin, tapi juga terapi lain yang beliau tawarkan. Belum melalui uji klinis yang benar. Untuk vaksin itu sebenarnya ranah BPOM. IDI fokus pada aspek etiknya karena beliau anggota IDI."
2022-04-01 12:03:28,urbigwinctx_,Mengding vaksin apa ga ush?
2022-04-01 10:04:07,nadewia_,"Sebagai alumni vaksin moderna, berakhir sudah masa berburuku mencari booster. Jumat yg asyik sebelum memulai puasa yg gatau mulainya besok atau lusa.  https://t.co/N12CpBHHbr"
2022-03-30 07:07:33,polsek_serengan,"Percepatan Vaksin  Polresta Surakarta di Klinik Bhayangkara Jl Slamet Riyadi no 376 Surakarta,  Setiap Hari:  Selasa-Jum'at  Tgl: 29 Maret-1 April 2022 Jam : 08.00-13.00 WIb Syarat: ✓Untuk Booster sudah Vaksin ke 2 minimal 3 bulan ✓18 ke atas ✓Membawa FC  KTP (KTP NKRI)  https://t.co/66olFEoVoa"
2022-03-29 10:00:51,Andy_vvb,@SoloMenfess Vaksin cukup 2x wae
2022-03-28 19:11:22,dr_ardi,Foto Dulu Sama Yang Mau Pindah Ke Perth Australia ❤️  Kalau Pulang Indonesia Jangan lupa Mampir Vaksin yaa ❤️  #ardisantoso #dokteranak #dokter #indonesia #pediatrician @ Klinik Kasih Ibu Sehati  https://t.co/AYaqjBVp3G
