tweet,token,InSet
hmm yg dimasalahin disini bkn gk bs explore hobi tp perempuan ideal gk si berpenghasilan bekerja jadi i asisten loh kerjanya jam buat ibu yg biasa kerja lalu tb jd isgt mungkin jd burn out yg hadepin cm sebidang kotak rumah amp org nya,"['hmm', 'yg', 'dimasalahin', 'disini', 'bkn', 'gk', 'bs', 'explore', 'hobi', 'tp', 'perempuan', 'ideal', 'gk', 'si', 'berpenghasilan', 'bekerja', 'jadi', 'i', 'asisten', 'loh', 'kerjanya', 'jam', 'buat', 'ibu', 'yg', 'biasa', 'kerja', 'lalu', 'tb', 'jd', 'isgt', 'mungkin', 'jd', 'burn', 'out', 'yg', 'hadepin', 'cm', 'sebidang', 'kotak', 'rumah', 'amp', 'org', 'nya']",neg
memang benar lowongan pekerjaan banyak mencantumkan vaksin syarat karyawannya punya pemikiran analisa baik logis,"['memang', 'benar', 'lowongan', 'pekerjaan', 'banyak', 'mencantumkan', 'vaksin', 'syarat', 'karyawannya', 'punya', 'pemikiran', 'analisa', 'baik', 'logis']",pos
lha siapa tahu kalau jadi kipi kalau tahu sakit pastinya gak vaksin,"['lha', 'siapa', 'tahu', 'kalau', 'jadi', 'kipi', 'kalau', 'tahu', 'sakit', 'pastinya', 'gak', 'vaksin']",pos
lha kalau tak vaksin tak naik kereta api pesawat padahal acara nikahan jakarta kemarennya tetangga boster tak naik kereta terpaksa vaksin ane piye jal,"['lha', 'kalau', 'tak', 'vaksin', 'tak', 'naik', 'kereta', 'api', 'pesawat', 'padahal', 'acara', 'nikahan', 'jakarta', 'kemarennya', 'tetangga', 'boster', 'tak', 'naik', 'kereta', 'terpaksa', 'vaksin', 'ane', 'piye', 'jal']",neg
ipar kk divaksin x kena covid masuk icu beberapa hari lha ane vaksin malah sakit vaskulistis pembekaan pembuluh darah mpe hampir bulan,"['ipar', 'kk', 'divaksin', 'x', 'kena', 'covid', 'masuk', 'icu', 'beberapa', 'hari', 'lha', 'ane', 'vaksin', 'malah', 'sakit', 'vaskulistis', 'pembekaan', 'pembuluh', 'darah', 'mpe', 'hampir', 'bulan']",neg
sini pcv aja kurang laku tun pdhal kota kabupaten wkwk aku pengen daftarin anakku buat pcv krna ga masuk sasaran usia eh yg masuk sasaran malah banyak yg ga mau pda takut sama vaksin baru,"['sini', 'pcv', 'aja', 'kurang', 'laku', 'tun', 'pdhal', 'kota', 'kabupaten', 'wkwk', 'aku', 'pengen', 'daftarin', 'anakku', 'buat', 'pcv', 'krna', 'ga', 'masuk', 'sasaran', 'usia', 'eh', 'yg', 'masuk', 'sasaran', 'malah', 'banyak', 'yg', 'ga', 'mau', 'pda', 'takut', 'sama', 'vaksin', 'baru']",neg
benar vaksin kali puasa dnah senen kamis insya allah tubuh jiwa terjaga amin,"['benar', 'vaksin', 'kali', 'puasa', 'dnah', 'senen', 'kamis', 'insya', 'allah', 'tubuh', 'jiwa', 'terjaga', 'amin']",neg
guys klo mau vaksin booster solo fess,"['guys', 'klo', 'mau', 'vaksin', 'booster', 'solo', 'fess']",neg
kereen semuanya,"['kereen', 'semuanya']",pos
stadion piala dunia u steril dipakai alah telek,"['stadion', 'piala', 'dunia', 'u', 'steril', 'dipakai', 'alah', 'telek']",neg
railmin syarat kereta solo sby skrg apa vaksin thx,"['railmin', 'syarat', 'kereta', 'solo', 'sby', 'skrg', 'apa', 'vaksin', 'thx']",neg
sate buntel kwi,"['sate', 'buntel', 'kwi']",neg
banyak warga sragen tolak vaksin booster migran care bantu edukasi,"['banyak', 'warga', 'sragen', 'tolak', 'vaksin', 'booster', 'migran', 'care', 'bantu', 'edukasi']",neg
indonesia,['indonesia'],neg
butut,['butut'],neg
modaro leeee,"['modaro', 'leeee']",neg
gw ga vaksin mungkin abis lahir disuntik pake coca cola,"['gw', 'ga', 'vaksin', 'mungkin', 'abis', 'lahir', 'disuntik', 'pake', 'coca', 'cola']",neg
membutuhkan vaksin booster silakan merapat loji gandrung sebelumnya berada ngarsopuro diadakan minggu selama stok tersedia gratis seluruh warga indonesia menunjukkan ktp,"['membutuhkan', 'vaksin', 'booster', 'silakan', 'merapat', 'loji', 'gandrung', 'sebelumnya', 'berada', 'ngarsopuro', 'diadakan', 'minggu', 'selama', 'stok', 'tersedia', 'gratis', 'seluruh', 'warga', 'indonesia', 'menunjukkan', 'ktp']",pos
aku lebih setuju wanita berpenghasilan sedapatnya tp tetap dirumah contoh content creator reseller barang pekerjaan sifatnya project based amp bs wfh cth translator buku majalah artikel gimanapun kayaknya otak perlu drill ilmu yg udh gak menguap,"['aku', 'lebih', 'setuju', 'wanita', 'berpenghasilan', 'sedapatnya', 'tp', 'tetap', 'dirumah', 'contoh', 'content', 'creator', 'reseller', 'barang', 'pekerjaan', 'sifatnya', 'project', 'based', 'amp', 'bs', 'wfh', 'cth', 'translator', 'buku', 'majalah', 'artikel', 'gimanapun', 'kayaknya', 'otak', 'perlu', 'drill', 'ilmu', 'yg', 'udh', 'gak', 'menguap']",pos
kementerian kesehatan memberikan vaksin covid dosis keempat tenaga kesehatan,"['kementerian', 'kesehatan', 'memberikan', 'vaksin', 'covid', 'dosis', 'keempat', 'tenaga', 'kesehatan']",pos
mending polio suntil vaksin babi kata ibunya,"['mending', 'polio', 'suntil', 'vaksin', 'babi', 'kata', 'ibunya']",pos
kan pabrik vaksin kopid biofarma baru mau dibangun kalo kopid hilang gak laku vaksin nya,"['kan', 'pabrik', 'vaksin', 'kopid', 'biofarma', 'baru', 'mau', 'dibangun', 'kalo', 'kopid', 'hilang', 'gak', 'laku', 'vaksin', 'nya']",neg
huft vaksin x booster x pernah jd alumni covid tp ga jamin kekebalan tubuhku ditakdirin fokus proposal emg,"['huft', 'vaksin', 'x', 'booster', 'x', 'pernah', 'jd', 'alumni', 'covid', 'tp', 'ga', 'jamin', 'kekebalan', 'tubuhku', 'ditakdirin', 'fokus', 'proposal', 'emg']",pos
fess nyuwun info vaksin ktp bebas dong,"['fess', 'nyuwun', 'info', 'vaksin', 'ktp', 'bebas', 'dong']",neg
updatenya bgmn,"['updatenya', 'bgmn']",neg
ku pernah ikut ambulance ngisi bensin waktu ambil vaksin,"['ku', 'pernah', 'ikut', 'ambulance', 'ngisi', 'bensin', 'waktu', 'ambil', 'vaksin']",neg
pas kkn banyak nemuin keluarga yg anti bu bidan desa vaksin an biasanya katanya agamannya gak,"['pas', 'kkn', 'banyak', 'nemuin', 'keluarga', 'yg', 'anti', 'bu', 'bidan', 'desa', 'vaksin', 'an', 'biasanya', 'katanya', 'agamannya', 'gak']",neg
terpantau jalan adi sucipto arah colomadu stadion manahan macet teratur jalan selamat sukses,"['terpantau', 'jalan', 'adi', 'sucipto', 'arah', 'colomadu', 'stadion', 'manahan', 'macet', 'teratur', 'jalan', 'selamat', 'sukses']",pos
pacarku mirip kamu,"['pacarku', 'mirip', 'kamu']",pos
emng iy gek lg vaksin pertama neh,"['emng', 'iy', 'gek', 'lg', 'vaksin', 'pertama', 'neh']",neg
klo mau naik kereta api solo malang misalnya syaratnya pakai vaksin boster dulu sih,"['klo', 'mau', 'naik', 'kereta', 'api', 'solo', 'malang', 'misalnya', 'syaratnya', 'pakai', 'vaksin', 'boster', 'dulu', 'sih']",neg
lhoh hasile wareg prasmanan,"['lhoh', 'hasile', 'wareg', 'prasmanan']",neg
aku yo seh seneng nganggo klambi tulisane pasoepati ngeneki gur ngenteni wayahe wae,"['aku', 'yo', 'seh', 'seneng', 'nganggo', 'klambi', 'tulisane', 'pasoepati', 'ngeneki', 'gur', 'ngenteni', 'wayahe', 'wae']",neg
info tempat vaksin lurr,"['info', 'tempat', 'vaksin', 'lurr']",pos
telat hudang jadi we teu kabagian vaksin booster,"['telat', 'hudang', 'jadi', 'we', 'teu', 'kabagian', 'vaksin', 'booster']",neg
solo square peduli vaksin pelayanan suntik vaksin sabtu november wib solo square lower ground sebelah hypermart ayo vaksin solo square,"['solo', 'square', 'peduli', 'vaksin', 'pelayanan', 'suntik', 'vaksin', 'sabtu', 'november', 'wib', 'solo', 'square', 'lower', 'ground', 'sebelah', 'hypermart', 'ayo', 'vaksin', 'solo', 'square']",neg
berburu vaksin booster,"['berburu', 'vaksin', 'booster']",pos
jemaah umrah tak wajib vaksin meningitis resmi loh,"['jemaah', 'umrah', 'tak', 'wajib', 'vaksin', 'meningitis', 'resmi', 'loh']",neg
fess info vaksin booster kampus dong guys kalau sekalian share jadwalnya yaa maaciiww,"['fess', 'info', 'vaksin', 'booster', 'kampus', 'dong', 'guys', 'kalau', 'sekalian', 'share', 'jadwalnya', 'yaa', 'maaciiww']",neg
warga sragen enggan ikut vaksin cakupan vaksinasi booster,"['warga', 'sragen', 'enggan', 'ikut', 'vaksin', 'cakupan', 'vaksinasi', 'booster']",neg
kemenkes tak wajibkan jemaah umrah vaksin meningitis,"['kemenkes', 'tak', 'wajibkan', 'jemaah', 'umrah', 'vaksin', 'meningitis']",neg
iki mas serem ali mabkhout,"['iki', 'mas', 'serem', 'ali', 'mabkhout']",neg
fess yg mau vaksin booster buruan ngoresan skrg ga antri trims,"['fess', 'yg', 'mau', 'vaksin', 'booster', 'buruan', 'ngoresan', 'skrg', 'ga', 'antri', 'trims']",neg
perhatian bupati sragen minta warga segera vaksin booster covid naik,"['perhatian', 'bupati', 'sragen', 'minta', 'warga', 'segera', 'vaksin', 'booster', 'covid', 'naik']",pos
kemenkes ri menyesuaikan kebijakan arab saudi umroh wajib vaksin meningitis sedang haji wajib vaksin meningitis,"['kemenkes', 'ri', 'menyesuaikan', 'kebijakan', 'arab', 'saudi', 'umroh', 'wajib', 'vaksin', 'meningitis', 'sedang', 'haji', 'wajib', 'vaksin', 'meningitis']",pos
urung vaksin kok ws mumet wae ki hadeeh,"['urung', 'vaksin', 'kok', 'ws', 'mumet', 'wae', 'ki', 'hadeeh']",neg
sayangi nyawamu nder ganti sayaang bahaya soalnya,"['sayangi', 'nyawamu', 'nder', 'ganti', 'sayaang', 'bahaya', 'soalnya']",neg
hari vaksin lagii,"['hari', 'vaksin', 'lagii']",neg
lurr info vaksin kucing seng regone murah dong matur suwun,"['lurr', 'info', 'vaksin', 'kucing', 'seng', 'regone', 'murah', 'dong', 'matur', 'suwun']",neg
elkan baggot opsi marcelino ferdinan,"['elkan', 'baggot', 'opsi', 'marcelino', 'ferdinan']",neg
ben iso ngene mas,"['ben', 'iso', 'ngene', 'mas']",neg
lebarnya layaknya landasan udara soekarno hatta,"['lebarnya', 'layaknya', 'landasan', 'udara', 'soekarno', 'hatta']",neg
fess info vaksin guys,"['fess', 'info', 'vaksin', 'guys']",neg
gara gara kena petir beberapa kali ngeground indihome mati ganti lan,"['gara', 'gara', 'kena', 'petir', 'beberapa', 'kali', 'ngeground', 'indihome', 'mati', 'ganti', 'lan']",neg
sebelahnya tora sudiro jerinx sid ngapain,"['sebelahnya', 'tora', 'sudiro', 'jerinx', 'sid', 'ngapain']",neg
aku open jasa joki nembak vaksin yaa masuk pedulilindungi permanen cepat aman desta first love,"['aku', 'open', 'jasa', 'joki', 'nembak', 'vaksin', 'yaa', 'masuk', 'pedulilindungi', 'permanen', 'cepat', 'aman', 'desta', 'first', 'love']",neg
info vaksin dosis area solo dong,"['info', 'vaksin', 'dosis', 'area', 'solo', 'dong']",pos
kemarin aja pak kok baru vaksin sekarang ngga mana trus kok mau vaksin mau berangkat thailand acara apa pak golek banci,"['kemarin', 'aja', 'pak', 'kok', 'baru', 'vaksin', 'sekarang', 'ngga', 'mana', 'trus', 'kok', 'mau', 'vaksin', 'mau', 'berangkat', 'thailand', 'acara', 'apa', 'pak', 'golek', 'banci']",neg
guys mau tanya kan vaksin sinovac trus vaksin yg kedua bukan sinovac pfizer gak sih,"['guys', 'mau', 'tanya', 'kan', 'vaksin', 'sinovac', 'trus', 'vaksin', 'yg', 'kedua', 'bukan', 'sinovac', 'pfizer', 'gak', 'sih']",neg
pasal vaksin pernah salah,"['pasal', 'vaksin', 'pernah', 'salah']",pos
aku vaksin gimana dunk,"['aku', 'vaksin', 'gimana', 'dunk']",neg
alhamndulilah cuma vaksin kali makan sehat segar sayuran hidup senantiyada iklas cari teman yg jujur berpeluang hidayah langit sap via melody porsi aman didunia scherst insya allah amin,"['alhamndulilah', 'cuma', 'vaksin', 'kali', 'makan', 'sehat', 'segar', 'sayuran', 'hidup', 'senantiyada', 'iklas', 'cari', 'teman', 'yg', 'jujur', 'berpeluang', 'hidayah', 'langit', 'sap', 'via', 'melody', 'porsi', 'aman', 'didunia', 'scherst', 'insya', 'allah', 'amin']",pos
stasiun balapan melayani vaksin booster,"['stasiun', 'balapan', 'melayani', 'vaksin', 'booster']",pos
ditemukan vaksin cacar pd vaksinasi global dikebut dr penyakit cacar akhirnya dimusnahkan gada lg pandemi endemi cacar jg merupakan pandemi pertama yg berhasil dimusnahkan sih sampel virus yg disimpen tp cm bwt riset,"['ditemukan', 'vaksin', 'cacar', 'pd', 'vaksinasi', 'global', 'dikebut', 'dr', 'penyakit', 'cacar', 'akhirnya', 'dimusnahkan', 'gada', 'lg', 'pandemi', 'endemi', 'cacar', 'jg', 'merupakan', 'pandemi', 'pertama', 'yg', 'berhasil', 'dimusnahkan', 'sih', 'sampel', 'virus', 'yg', 'disimpen', 'tp', 'cm', 'bwt', 'riset']",neg
sekilas info tambahan ilmu taun hernan cortez tiba meksiko bawa org prajurit budak populasi meksiko jt thn populasi suku aztec tgl jt kurang dr th cacarnya cortez membasmi penduduk aztec jmn dlu blm vaksin cacar,"['sekilas', 'info', 'tambahan', 'ilmu', 'taun', 'hernan', 'cortez', 'tiba', 'meksiko', 'bawa', 'org', 'prajurit', 'budak', 'populasi', 'meksiko', 'jt', 'thn', 'populasi', 'suku', 'aztec', 'tgl', 'jt', 'kurang', 'dr', 'th', 'cacarnya', 'cortez', 'membasmi', 'penduduk', 'aztec', 'jmn', 'dlu', 'blm', 'vaksin', 'cacar']",neg
cek ig aja nder sering info vaksin booster,"['cek', 'ig', 'aja', 'nder', 'sering', 'info', 'vaksin', 'booster']",neg
habis vaksin lagu vaksin lagii,"['habis', 'vaksin', 'lagu', 'vaksin', 'lagii']",neg
kini hadir vaksin booster peningkatan imun serangan virus silahkan hubungi mbak mendapatkan kartu kci kartu cidronesia sabar akses layanan vaksin version free payung,"['kini', 'hadir', 'vaksin', 'booster', 'peningkatan', 'imun', 'serangan', 'virus', 'silahkan', 'hubungi', 'mbak', 'mendapatkan', 'kartu', 'kci', 'kartu', 'cidronesia', 'sabar', 'akses', 'layanan', 'vaksin', 'version', 'free', 'payung']",pos
dr nomer ktp jadi pas cetak tiketnya udah tulisannya km udah vaksin berapa kali gt kalo booster g chek in stasiun,"['dr', 'nomer', 'ktp', 'jadi', 'pas', 'cetak', 'tiketnya', 'udah', 'tulisannya', 'km', 'udah', 'vaksin', 'berapa', 'kali', 'gt', 'kalo', 'booster', 'g', 'chek', 'in', 'stasiun']",pos
persyaratan naik kereta api sekarang vaksin booster dulu min,"['persyaratan', 'naik', 'kereta', 'api', 'sekarang', 'vaksin', 'booster', 'dulu', 'min']",pos
sakne banget iki wis kadung mbas tiket sepur lah kok wajib vaksin booster tolak dong tiketnya maneh gak iso refund tiketnya awak lek,"['sakne', 'banget', 'iki', 'wis', 'kadung', 'mbas', 'tiket', 'sepur', 'lah', 'kok', 'wajib', 'vaksin', 'booster', 'tolak', 'dong', 'tiketnya', 'maneh', 'gak', 'iso', 'refund', 'tiketnya', 'awak', 'lek']",neg
kak syarat naik krl jogja solo pp apa vaksin booster,"['kak', 'syarat', 'naik', 'krl', 'jogja', 'solo', 'pp', 'apa', 'vaksin', 'booster']",neg
idem vaksin hidayah allah baik jahat jujur bohong iklas pamrih siang malam benar salah udara tlah mencatat duper valid allah langsung jg mengatur,"['idem', 'vaksin', 'hidayah', 'allah', 'baik', 'jahat', 'jujur', 'bohong', 'iklas', 'pamrih', 'siang', 'malam', 'benar', 'salah', 'udara', 'tlah', 'mencatat', 'duper', 'valid', 'allah', 'langsung', 'jg', 'mengatur']",neg
bp mentri ra vaksin boster,"['bp', 'mentri', 'ra', 'vaksin', 'boster']",neg
kalo dosis pake bukti vaksin,"['kalo', 'dosis', 'pake', 'bukti', 'vaksin']",neg
mas masalah nihh temenku baru vaksin pertama masuk konser ga kak,"['mas', 'masalah', 'nihh', 'temenku', 'baru', 'vaksin', 'pertama', 'masuk', 'konser', 'ga', 'kak']",neg
mas kalo baru vaksin dosis pertama nonton konser mas kun ndak mas besok september soloo temenku baru dosis pertama,"['mas', 'kalo', 'baru', 'vaksin', 'dosis', 'pertama', 'nonton', 'konser', 'mas', 'kun', 'ndak', 'mas', 'besok', 'september', 'soloo', 'temenku', 'baru', 'dosis', 'pertama']",neg
ketinggalan jadwal booster mulu eh kok pas ngemall tiba tiba booth vaksin,"['ketinggalan', 'jadwal', 'booster', 'mulu', 'eh', 'kok', 'pas', 'ngemall', 'tiba', 'tiba', 'booth', 'vaksin']",neg
solo square peduli vaksin yuk loyal customer solo square melakukan vaksinasi segera solo square lantai depan cinema xxi solo square solo square,"['solo', 'square', 'peduli', 'vaksin', 'yuk', 'loyal', 'customer', 'solo', 'square', 'melakukan', 'vaksinasi', 'segera', 'solo', 'square', 'lantai', 'depan', 'cinema', 'xxi', 'solo', 'square', 'solo', 'square']",pos
kmu vaksin,"['kmu', 'vaksin']",pos
siap vaksin,"['siap', 'vaksin']",neg
nnyicil sek vaksin pertama,"['nnyicil', 'sek', 'vaksin', 'pertama']",pos
yuk sekrang wajib vaksin mau perjalana kereta,"['yuk', 'sekrang', 'wajib', 'vaksin', 'mau', 'perjalana', 'kereta']",neg
gajadi vaksin lah mager wkwk,"['gajadi', 'vaksin', 'lah', 'mager', 'wkwk']",pos
minim vaksin booster keknya,"['minim', 'vaksin', 'booster', 'keknya']",neg
info vaksin pantau akun ig puskesmas se kab klaten,"['info', 'vaksin', 'pantau', 'akun', 'ig', 'puskesmas', 'se', 'kab', 'klaten']",neg
mbuh lah wes rasido vaksin,"['mbuh', 'lah', 'wes', 'rasido', 'vaksin']",neg
mjb enggak kok minimal vaksin,"['mjb', 'enggak', 'kok', 'minimal', 'vaksin']",neg
betul kan jadi kasian yg vaksin berkali kali,"['betul', 'kan', 'jadi', 'kasian', 'yg', 'vaksin', 'berkali', 'kali']",neg
minimal vaksin,"['minimal', 'vaksin']",neg
bulan jadi vaksin,"['bulan', 'jadi', 'vaksin']",neg
ngemeng epeh vaksin sana dulu,"['ngemeng', 'epeh', 'vaksin', 'sana', 'dulu']",neg
vsksin ketiga berarti sehari doangkan pegelnya kalau aku udah vaksin kebera a lupa sih aku tuh,"['vsksin', 'ketiga', 'berarti', 'sehari', 'doangkan', 'pegelnya', 'kalau', 'aku', 'udah', 'vaksin', 'kebera', 'a', 'lupa', 'sih', 'aku', 'tuh']",neg
nyales vaksin untung berapa pak,"['nyales', 'vaksin', 'untung', 'berapa', 'pak']",neg
penataran malang blitar k kahuripan blitar lempuyangan k transit blitar jam an vaksin gausah antigen,"['penataran', 'malang', 'blitar', 'k', 'kahuripan', 'blitar', 'lempuyangan', 'k', 'transit', 'blitar', 'jam', 'an', 'vaksin', 'gausah', 'antigen']",pos
mau aja dikadalin tukang jual vaksin,"['mau', 'aja', 'dikadalin', 'tukang', 'jual', 'vaksin']",neg
solo square peduli vaksin pelayanan vaksinasi covid sabtu minggu juni wib solo square solo square,"['solo', 'square', 'peduli', 'vaksin', 'pelayanan', 'vaksinasi', 'covid', 'sabtu', 'minggu', 'juni', 'wib', 'solo', 'square', 'solo', 'square']",pos
aku abis vaksin booster,"['aku', 'abis', 'vaksin', 'booster']",pos
program vaksinasi booster dosis ketiga bekerja sama menggunakan jenis vaksin astrazaneca dibuka kuota hari pertama sebanyak dosis hari kedua dosis hari ketiga dosis,"['program', 'vaksinasi', 'booster', 'dosis', 'ketiga', 'bekerja', 'sama', 'menggunakan', 'jenis', 'vaksin', 'astrazaneca', 'dibuka', 'kuota', 'hari', 'pertama', 'sebanyak', 'dosis', 'hari', 'kedua', 'dosis', 'hari', 'ketiga', 'dosis']",neg
pecinta sepak bola solo ayo ikuti booster suporter mei pukul wib persis store amp cafe syarat berusia gt tahun vaksin dosis ii gt bulan lalu ber ktp domisili solo raya melakukan registration walk in persis store,"['pecinta', 'sepak', 'bola', 'solo', 'ayo', 'ikuti', 'booster', 'suporter', 'mei', 'pukul', 'wib', 'persis', 'store', 'amp', 'cafe', 'syarat', 'berusia', 'gt', 'tahun', 'vaksin', 'dosis', 'ii', 'gt', 'bulan', 'lalu', 'ber', 'ktp', 'domisili', 'solo', 'raya', 'melakukan', 'registration', 'walk', 'in', 'persis', 'store']",pos
melawan mei stadion gelora bung tomo surabaya kick off wib jadi ajang pemanasan liga bergengsi amp dinantikan pecinta sepak bola penonton langsung nonton tribun dgn syarat vaksin booster,"['melawan', 'mei', 'stadion', 'gelora', 'bung', 'tomo', 'surabaya', 'kick', 'off', 'wib', 'jadi', 'ajang', 'pemanasan', 'liga', 'bergengsi', 'amp', 'dinantikan', 'pecinta', 'sepak', 'bola', 'penonton', 'langsung', 'nonton', 'tribun', 'dgn', 'syarat', 'vaksin', 'booster']",pos
pengen jane ngepasi minggu barang aku rung minat vaksin pdhl seko official persissolo yo ngadakne vaksin sblum away rono wkwkwkw,"['pengen', 'jane', 'ngepasi', 'minggu', 'barang', 'aku', 'rung', 'minat', 'vaksin', 'pdhl', 'seko', 'official', 'persissolo', 'yo', 'ngadakne', 'vaksin', 'sblum', 'away', 'rono', 'wkwkwkw']",neg
males vaksin e po hahahah,"['males', 'vaksin', 'e', 'po', 'hahahah']",pos
anggota dpr ri mengapresiasi inovasi kapolresta solo memodernisasi peralatan kamera hingga layanan vaksin,"['anggota', 'dpr', 'ri', 'mengapresiasi', 'inovasi', 'kapolresta', 'solo', 'memodernisasi', 'peralatan', 'kamera', 'hingga', 'layanan', 'vaksin']",neg
monggo seng ajeng vaksin boster depan hotel amarelo singosaren dr jam siang,"['monggo', 'seng', 'ajeng', 'vaksin', 'boster', 'depan', 'hotel', 'amarelo', 'singosaren', 'dr', 'jam', 'siang']",pos
vaksin pertama njut vaksin boster ra bos kevin,"['vaksin', 'pertama', 'njut', 'vaksin', 'boster', 'ra', 'bos', 'kevin']",pos
inpo vaksin boster magetan vaksin buat kesehatan vaksin gawe nonton persis,"['inpo', 'vaksin', 'boster', 'magetan', 'vaksin', 'buat', 'kesehatan', 'vaksin', 'gawe', 'nonton', 'persis']",pos
pengen away rono meneh jek males vaksin booster wkekekke,"['pengen', 'away', 'rono', 'meneh', 'jek', 'males', 'vaksin', 'booster', 'wkekekke']",pos
solo square peduli vaksin ayo lengkapi dosis vaksin solo square,"['solo', 'square', 'peduli', 'vaksin', 'ayo', 'lengkapi', 'dosis', 'vaksin', 'solo', 'square']",neg
ayo lengkapi dosis vaksin wib lower ground samping hypermart solo square,"['ayo', 'lengkapi', 'dosis', 'vaksin', 'wib', 'lower', 'ground', 'samping', 'hypermart', 'solo', 'square']",pos
lah kok gituu kalo km puasa trus vaksin efek nya lohh khan kalo vaksin makan yg byk trus stl vaksin hrs makan biar gak efek drop nya,"['lah', 'kok', 'gituu', 'kalo', 'km', 'puasa', 'trus', 'vaksin', 'efek', 'nya', 'lohh', 'khan', 'kalo', 'vaksin', 'makan', 'yg', 'byk', 'trus', 'stl', 'vaksin', 'hrs', 'makan', 'biar', 'gak', 'efek', 'drop', 'nya']",pos
berati km gak puasa dong kalo vaksin,"['berati', 'km', 'gak', 'puasa', 'dong', 'kalo', 'vaksin']",neg
program sejuta vaksin bersama pc nu kota surakarta kementerian agama hari kamis sabtu tanggal april vaksinasi siang wib wib vaksinasi malam wib wib klinik bhayangkara jl slamet riyadi no surakarta,"['program', 'sejuta', 'vaksin', 'bersama', 'pc', 'nu', 'kota', 'surakarta', 'kementerian', 'agama', 'hari', 'kamis', 'sabtu', 'tanggal', 'april', 'vaksinasi', 'siang', 'wib', 'wib', 'vaksinasi', 'malam', 'wib', 'wib', 'klinik', 'bhayangkara', 'jl', 'slamet', 'riyadi', 'no', 'surakarta']",neg
mana ni vaksin mahal banget ampe jeti lu bayangin deh kalo gegara ni vaksin angka kematian indonesia gegara kanker serviks menurun drastis ape idup lo kagak tentram hah heran ayolah jangan jd orang terbelakang sih,"['mana', 'ni', 'vaksin', 'mahal', 'banget', 'ampe', 'jeti', 'lu', 'bayangin', 'deh', 'kalo', 'gegara', 'ni', 'vaksin', 'angka', 'kematian', 'indonesia', 'gegara', 'kanker', 'serviks', 'menurun', 'drastis', 'ape', 'idup', 'lo', 'kagak', 'tentram', 'hah', 'heran', 'ayolah', 'jangan', 'jd', 'orang', 'terbelakang', 'sih']",neg
